fold,neg_type,feature_type,model,auc,n_train,n_test
0,only-neg-assays,biophysical,LR,0.5910751720817466,20000,40480
0,only-neg-assays,biophysical,RF,0.6686351394135154,20000,40480
1,only-neg-assays,biophysical,LR,0.8525954383406444,20000,43293
1,only-neg-assays,biophysical,RF,0.7293965073205897,20000,43293
2,only-neg-assays,biophysical,LR,0.9523898966216852,20000,40550
2,only-neg-assays,biophysical,RF,0.603612500795002,20000,40550
3,only-neg-assays,biophysical,LR,0.8921474837371417,20000,40446
3,only-neg-assays,biophysical,RF,0.7952551723883,20000,40446
4,only-neg-assays,biophysical,LR,0.42271595507378634,20000,40411
4,only-neg-assays,biophysical,RF,0.38159081796311145,20000,40411
0,only-neg-assays,sequence,LR,0.5099340018170421,10000,40480
0,only-neg-assays,sequence,RF,0.14696455704562908,10000,40480
1,only-neg-assays,sequence,LR,0.8541109731208945,10000,43293
1,only-neg-assays,sequence,RF,0.6151841205423498,10000,43293
2,only-neg-assays,sequence,LR,0.6918644837076603,10000,40550
2,only-neg-assays,sequence,RF,0.7122198497973844,10000,40550
3,only-neg-assays,sequence,LR,0.986395372572662,10000,40446
3,only-neg-assays,sequence,RF,0.6568957951731997,10000,40446
4,only-neg-assays,sequence,LR,0.8733301878531464,10000,40411
4,only-neg-assays,sequence,RF,0.34847138880439493,10000,40411
0,only-sampled-negs,biophysical,LR,0.469146760749097,20000,60629
0,only-sampled-negs,biophysical,RF,0.48661036762259074,20000,60629
1,only-sampled-negs,biophysical,LR,0.4953212905525537,20000,60754
1,only-sampled-negs,biophysical,RF,0.49720031489555727,20000,60754
2,only-sampled-negs,biophysical,LR,0.500149201675601,20000,63181
2,only-sampled-negs,biophysical,RF,0.504091863547582,20000,63181
3,only-sampled-negs,biophysical,LR,0.49107089674370996,20000,60495
3,only-sampled-negs,biophysical,RF,0.4702765009651512,20000,60495
4,only-sampled-negs,biophysical,LR,0.4803697027112991,20000,60761
4,only-sampled-negs,biophysical,RF,0.4889951767785784,20000,60761
0,only-sampled-negs,sequence,LR,0.4934979637662438,10000,60629
0,only-sampled-negs,sequence,RF,0.48976879078770497,10000,60629
1,only-sampled-negs,sequence,LR,0.4881767996429621,10000,60754
1,only-sampled-negs,sequence,RF,0.4872618504237651,10000,60754
2,only-sampled-negs,sequence,LR,0.4905263286265131,10000,63181
2,only-sampled-negs,sequence,RF,0.5055660284596355,10000,63181
3,only-sampled-negs,sequence,LR,0.4730943582288121,10000,60495
3,only-sampled-negs,sequence,RF,0.4359989308168215,10000,60495
4,only-sampled-negs,sequence,LR,0.48519183737056404,10000,60761
4,only-sampled-negs,sequence,RF,0.4924356565861012,10000,60761
