difficulty_level,level_name,feature_type,model,seed,fold,auc,mean_neg_dist_bio,n_unique_negatives,n_sampled,replacement_used,is_anchor
1,trivial_far,biophysical,lr,0,0,0.9565044645657764,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,0,1,0.9434886249581799,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,0,2,0.9495434143321467,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,0,3,0.9669998327199733,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,0,4,0.92798143075218,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,0,0,0.9763869429748437,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,0,1,0.9689946470391434,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,0,2,0.972069422773648,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,0,3,0.9855762796922047,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,0,4,0.9440580498107526,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,0,0,0.9333430919470526,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,0,1,0.9291359986617598,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,0,2,0.9334133700330884,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,0,3,0.9216293074606893,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,0,4,0.9051253633341001,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,0,0,0.9499843165136654,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,0,1,0.9406574105051856,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,0,2,0.9421016744960408,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,0,3,0.9566410170625628,8.74542,4894,2445,False,False
1,trivial_far,sequence,rf,0,4,0.9195876288659793,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,1,0,0.9431833389093341,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,1,1,0.9374154049874914,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,1,2,0.9561356387443344,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,1,3,0.9607882498578072,8.74542,4894,2445,False,False
1,trivial_far,biophysical,lr,1,4,0.9417782426778243,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,1,0,0.9744647039143528,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,1,1,0.9730469290177131,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,1,2,0.9671269095182139,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,1,3,0.9737194285523102,8.74542,4894,2445,False,False
1,trivial_far,biophysical,rf,1,4,0.9544100418410042,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,1,0,0.9255394780863164,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,1,1,0.9098547165778986,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,1,2,0.906530132617089,8.74542,4894,2445,False,False
1,trivial_far,sequence,lr,1,3,0.9353566529492455,8.74542,4894,2445,False,False
